Category,Step,Description,Resources,Conditions,Opinon
For Connect Server(s),Install Connect,,https://docs.posit.co/rsc/manual-install/,connect,
For Connect Server(s),Activate Connect License,,https://docs.posit.co/connect/admin/licensing/#activating-a-license-key,connect,
For Connect Server(s),Install Database drivers,,https://docs.posit.co/pro-drivers/workbench-connect/,connect,
For Connect Server(s),Configure Connect SSL,,https://docs.posit.co/connect/admin/appendix/configuration/#HTTPS,connect,
For Connect Server(s),Integrate Connect and Package Manager,,https://docs.posit.co/connect/admin/appendix/configuration/#RPackageRepository,connect,
For Connect Server(s),Configure Connect Python,,https://docs.posit.co/connect/admin/python/,connect,
For Connect Server(s),Configure Connect Quarto,,https://docs.posit.co/connect/admin/quarto/,connect,
For Connect Server(s),Restart Connect,,https://docs.posit.co/connect/admin/server-management/#stopping-starting,connect,
For Connect Server(s),Run a Server Health Check to Verify Configuration,,https://docs.rstudio.com/rsc/post-setup-assistant/#verification-tasks,connect,
For Workbench Server(s),Install R,,,workbench,
For Workbench Server(s),Install Python,,,workbench,
For Workbench Server(s),Configure pip.conf to use Package Manager,,,workbench,
For Workbench Server(s),Make Python available via Jupyter Kernel,,https://docs.posit.co/resources/install-python/#optional-make-python-available-as-a-jupyter-kernel,workbench,
For Workbench Server(s),Install Workbench,,https://docs.posit.co/rsw/installation/,workbench,
For Workbench Server(s),Activate Workbench License,,,workbench,
For Workbench Server(s),Check Workbench login with administrator account,This allows you to verify that PAM authenticaiton is configured before adding SSO. ,,workbench,
For Workbench Server(s),Configure SSL,Restart Workbench after configuring.,https://docs.posit.co/rsw/configuration/ssl-certificates/,workbench,
For Workbench Server(s),"Configure central source of user accounts (LDAP, AD)",,,workbench,
For Workbench Server(s),Configure SSO,Restart Workbench after configuring.,https://docs.posit.co/rsw/configuration/authentication/,workbench,
For Workbench Server(s),Enable Jupyter,Restart Workbench after configuring.,https://docs.posit.co/ide/server-pro/jupyter_sessions/configuration.html,workbench,
For Workbench Server(s),Configure Workbench to use Package Manager,Restart Workbench after configuring.,https://docs.posit.co/rspm/admin/workbench/#internal-packages-and-cran-packages,workbench,
For Workbench Server(s),Configure Connect in rsession.conf,Restart Workbench after configuring.,https://docs.posit.co/ide/server-pro/rstudio_server_configuration/rsession_conf.html#default-rsconnect-server,workbench,
For Workbench Server(s),Access to PostgreSQL Database for syncing Workbench node state,,https://docs.posit.co/ide/server-pro/database/configuration.html#postgresql,workbench_ha,
For Workbench Server(s),Shared NFS network storage mounted on each Workbench node,,,workbench_ha,
For Workbench Cluster,Stop Workbench on all nodes,,,workbench_ha,
For Workbench Cluster,"Copy /etc/rstudio/launcher.pub and /etc/rstudio/launcher.pem from first Workbench node to all other nodes, over-writing existing instances of these files",,,workbench_ha,
For Workbench Cluster,Configure database.conf to connect to PostgreSQL database rather than SQLLite,,https://docs.posit.co/ide/server-pro/database/configuration.html#postgresql,workbench_ha,
For Workbench Cluster,Move user home directories to NFS storage path,,,workbench_ha,
For Workbench Cluster,"Generate and replicate /etc/rstudio/secure-cookie-key between all Workbench nodes, file must be identical on all nodes",,https://docs.posit.co/ide/server-pro/load_balancing/configuration.html#generating-a-key,workbench_ha,
For Workbench Cluster,Move shared storage path onto NFS storage,,https://docs.posit.co/ide/server-pro/rstudio_pro_sessions/project_sharing.html#shared-storage,workbench_ha,
For Workbench Cluster,Configure scratch path on NFS storage,,https://docs.posit.co/ide/server-pro/job_launcher/local_plugin.html#load-balancing-considerations,workbench_ha,
For Workbench Cluster,"Verify configuration files in /etc/rstudio are identical with the exception of options related to the address of each node (www-host-name in load-balancer, www-address and www-port in rserver.conf).",,,workbench_ha,
Workbench Verification,Verify user can log in and start a session with each IDE,,,workbench,
Workbench Verification,Verify Packages can be Installed ,,,workbench,
Workbench Verification,Verify Publishing to Connect,,,workbench,
